Pc_name,no,type,state,candidate_name,party,electors,votes,Turnout,margin,margin%,year
Sangli,46,GEN,Maharashtra,Patil Prakashbapu Vasantdada,Indian National Congress,"11,86,416","6,92,440",58.40%,"81,623",11.80%,2004
Sangrur,10,GEN,Punjab,Sukhdev Singh Dhindsa,Shiromani Akali Dal,"12,14,485","8,37,596",69.00%,"27,277",3.30%,2004
Sarangarh,5,GEN,Chhattisgarh,Guharam Ajgalle,Bharatiya Janta Party,"11,91,389","5,87,744",49.30%,"59,118",10.10%,2004
Sasaram,35,GEN,Bihar [2000 Onwards],Meira Kumar,Indian National Congress,"12,91,800","6,97,265",54.00%,"2,58,262",37.00%,2004
Satara,44,GEN,Maharashtra,Laxmanrao Pandurang Jadhav (PATIL),Nationalist Congress Party,"11,49,290","6,73,093",58.60%,"3,957",0.60%,2004
Satna,8,GEN,Madhya Pradesh [2000 Onwards],Ganesh Singh,Bharatiya Janta Party,"13,24,818","6,09,727",46.00%,"83,590",13.70%,2004
Sawai Madhopur,11,ST,Rajasthan,Namo Narain,Indian National Congress,"13,40,804","6,64,489",49.60%,"1,11,163",16.70%,2004
Secunderabad,31,GEN,Andhra Pradesh,Anjan Kumar Yadav M,Indian National Congress,"18,50,694","9,73,226",52.60%,"68,758",7.10%,2004
Seoni,15,GEN,Madhya Pradesh [2000 Onwards],Neeta Pateriya,Bharatiya Janta Party,"12,03,918","5,98,745",49.70%,"94,801",15.80%,2004
Serampore,26,GEN,West Bengal,Santasri Chatterjee,Communist Party Of India (MARXIST),"12,85,398","9,42,891",73.40%,"19,687",2.10%,2004
Shahabad,12,GEN,Uttar Pradesh [2000 Onwards],Iliyas Azmi,Bahujan Samaj Party,"12,58,003","5,79,606",46.10%,"46,369",8.00%,2004
Shahdol,11,GEN,Madhya Pradesh [2000 Onwards],Dalpat Singh Paraste,Bharatiya Janta Party,"13,05,252","5,09,123",39.00%,"29,349",5.80%,2004
Shahjahanpur,10,GEN,Uttar Pradesh [2000 Onwards],Kunwar Jitin Prasad,Indian National Congress,"12,40,983","6,34,371",51.10%,"81,832",12.90%,2004
Shajapur,22,SC,Madhya Pradesh [2000 Onwards],Thawarchand Gehlot,Bharatiya Janta Party,"13,28,841","7,19,744",54.20%,"1,68,187",23.40%,2004
Sheohar,12,GEN,Bihar [2000 Onwards],Sitaram Singh,Rashtriya Janata Dal,"12,14,428","6,66,384",54.90%,"73,883",11.10%,2004
Shillong,1,ST,Meghalaya,Paty Ripple Kyndiah,Indian National Congress,"7,85,062","3,67,736",46.80%,"70,896",19.30%,2004
Shimoga,21,GEN,Karnataka,S. Bangarappa,Bharatiya Janta Party,"12,57,953","8,86,294",70.50%,"76,145",8.60%,2004
Sholapur,37,GEN,Maharashtra,Deshmukh Subhash Sureshchandra,Bharatiya Janta Party,"11,87,231","6,57,089",55.40%,"5,798",0.90%,2004
Siddipet,32,SC,Andhra Pradesh,Sarvey Sathyanarayana,Indian National Congress,"17,27,118","11,18,829",64.80%,"1,38,972",12.40%,2004
Sidhi,10,GEN,Madhya Pradesh [2000 Onwards],Chandrapratap Singh,Bharatiya Janta Party,"10,83,701","4,57,029",42.20%,"49,565",10.80%,2004
Sikar,5,GEN,Rajasthan,Subhash Meharia,Bharatiya Janta Party,"14,76,344","7,77,953",52.70%,"54,683",7.00%,2004
Sikkim,1,GEN,Sikkim,Nakul Das Rai,Sikkim Democratic Front,"2,81,937","2,15,294",76.40%,"93,151",43.30%,2004
Silchar,2,GEN,Assam,Sontosh Mohan Dev,Indian National Congress,"8,79,243","6,07,884",69.10%,"21,320",3.50%,2004
Simla,1,GEN,Himachal Pradesh,Dhani Ram Shandil,Indian National Congress,"10,18,988","5,25,998",51.60%,"1,08,180",20.60%,2004
Singhbhum,10,ST,Jharkhand,Bagun Sumbrai,Indian National Congress,"9,19,728","5,20,155",56.60%,"59,196",11.40%,2004
Sirsa,10,GEN,Haryana,Atma Singh Gill,Indian National Congress,"12,19,935","8,41,638",69.00%,"71,475",8.50%,2004
Sitamarhi,11,GEN,Bihar [2000 Onwards],Sitaram Yadav,Rashtriya Janata Dal,"12,65,132","6,90,791",54.60%,"98,005",14.20%,2004
Sitapur,13,GEN,Uttar Pradesh [2000 Onwards],Rajesh Verma,Bahujan Samaj Party,"12,92,685","5,96,568",46.20%,"5,234",0.90%,2004
Sivaganga,33,GEN,Tamil Nadu,"Chidambaram, P.",Indian National Congress,"10,83,542","6,64,594",61.30%,"1,62,725",24.50%,2004
Sivakasi,35,GEN,Tamil Nadu,"Ravichandran, A",Marumalarchi Dravida Munnetra Kazhagam,"13,13,594","8,28,082",63.00%,"1,64,517",19.90%,2004
Siwan,5,GEN,Bihar [2000 Onwards],Mohammad Shahabuddin,Rashtriya Janata Dal,"10,54,441","6,37,544",60.50%,"1,03,578",16.20%,2004
Sonepat,4,GEN,Haryana,Kishan Singh Sangwan,Bharatiya Janta Party,"11,38,771","7,36,510",64.70%,"7,569",1.00%,2004
South Delhi,2,GEN,Delhi [1977 Onwards],Vijay Kumar Malhotra,Bharatiya Janta Party,"10,18,862","4,78,871",47.00%,"16,005",3.30%,2004
Srikakulam,1,GEN,Andhra Pradesh,Yerrannaidu Kinjarapu,Telugu Desam,"9,58,626","7,23,013",75.40%,"31,879",4.40%,2004
Srinagar,2,GEN,Jammu & Kashmir,Omar Abdullah,Jammu & Kashmir National Conference,"10,53,734","1,95,645",18.60%,"23,159",11.80%,2004
Sriperumbudur,4,GEN,Tamil Nadu,Krishnaswamy. A,Dravida Munetra Kazhagam,"14,23,561","8,42,045",59.20%,"2,35,346",27.90%,2004
Sultanpur,22,GEN,Uttar Pradesh [2000 Onwards],Mohd. Tahir,Bahujan Samaj Party,"14,65,273","7,21,002",49.20%,"1,01,810",14.10%,2004
Sundargarh,20,GEN,Orissa,Jual Oram,Bharatiya Janta Party,"12,09,123","7,32,302",60.60%,"39,676",5.40%,2004
Surat,24,GEN,Gujarat,Kashiram Rana,Bharatiya Janta Party,"23,77,198","8,96,233",37.70%,"1,50,563",16.80%,2004
Surendranagar,2,GEN,Gujarat,Koli Patel Somabhai Gandabhai,Bharatiya Janta Party,"11,09,656","4,55,520",41.10%,"33,944",7.50%,2004
Surguja,1,ST,Chhattisgarh,Nand Kumar Sai,Bharatiya Janta Party,"13,87,483","6,76,480",48.80%,"1,03,452",15.30%,2004
Tamluk,30,GEN,West Bengal,Seth Lakshman Chandra,Communist Party Of India (MARXIST),"11,85,781","10,30,848",86.90%,"57,380",5.60%,2004
Tarn Taran,3,GEN,Punjab,Dr. Rattan Singh Ajnala,Shiromani Akali Dal,"11,73,431","7,17,306",61.10%,"56,394",7.90%,2004
Tehri Garhwal,1,GEN,Uttarakhand,Manabendra Shah,Bharatiya Janta Party,"12,92,454","5,61,210",43.40%,"17,446",3.10%,2004
Tenali,14,GEN,Andhra Pradesh,Balashowry Vallabhaneni,Indian National Congress,"8,80,148","6,71,316",76.30%,"78,556",11.70%,2004
Tenkasi,37,SC,Tamil Nadu,"Appadurai, M.",Communist Party Of India,"10,84,708","7,09,688",65.40%,"1,22,176",17.20%,2004
Tezpur,9,GEN,Assam,Moni Kumar Subba,Indian National Congress,"10,06,389","7,20,182",71.60%,"70,445",9.80%,2004
Thane,10,GEN,Maharashtra,Paranjape Prakash Vishvanath,Shiv Sena,"32,40,342","13,13,006",40.50%,"22,258",1.70%,2004
Thanjavur,31,GEN,Tamil Nadu,Palanimanickam. S. S.,Dravida Munetra Kazhagam,"10,30,779","7,06,888",68.60%,"1,19,148",16.90%,2004
Tindivanam,10,GEN,Tamil Nadu,Dhanaraju. K,Pattali Makkal Katchi,"11,58,938","7,27,774",62.80%,"91,164",12.50%,2004
Tiruchendur,38,GEN,Tamil Nadu,Radhika Selvi. V,Dravida Munetra Kazhagam,"10,31,560","6,28,693",61.00%,"1,81,681",28.90%,2004
Tiruchengode,17,GEN,Tamil Nadu,Subbulakshmi Jagadeesan,Dravida Munetra Kazhagam,"14,43,197","8,62,183",59.70%,"1,79,397",20.80%,2004
Tiruchirappalli,27,SC,Tamil Nadu,Ganesan. L,Marumalarchi Dravida Munnetra Kazhagam,"11,92,254","7,07,830",59.40%,"2,16,725",30.60%,2004
Tirunelveli,36,GEN,Tamil Nadu,"Dhanuskodi Athithan, R.",Indian National Congress,"10,86,290","6,31,284",58.10%,"1,67,075",26.50%,2004
Tirupathi,20,SC,Andhra Pradesh,Chinta Mohan,Indian National Congress,"12,15,573","8,48,995",69.80%,"1,99,328",23.50%,2004
Tiruppattur,8,GEN,Tamil Nadu,"Venugopal, D.",Dravida Munetra Kazhagam,"12,13,662","7,74,387",63.80%,"1,80,902",23.40%,2004
Tonk,13,GEN,Rajasthan,Kailash Meghwal,Bharatiya Janta Party,"12,78,411","5,93,288",46.40%,"58,512",9.90%,2004
Trichur,9,SC,Kerala,C. K. Chandrappan,Communist Party Of India,"9,90,733","6,86,108",69.30%,"45,961",6.70%,2004
Tripura East,2,ST,Tripura,Baju Ban Riyan,Communist Party Of India (MARXIST),"9,36,626","6,19,546",66.20%,"3,10,736",50.20%,2004
Tripura West,1,GEN,Tripura,Khagen Das,Communist Party Of India (MARXIST),"10,41,596","6,99,397",67.20%,"3,84,636",55.00%,2004
Trivandrum,20,GEN,Kerala,P. K. Vasudevan Nair,Communist Party Of India,"11,12,571","7,61,488",68.40%,"54,603",7.20%,2004
Tumkur,8,GEN,Karnataka,S. Mallikarjunaiah,Bharatiya Janta Party,"12,21,507","8,62,673",70.60%,"2,351",0.30%,2004
Tura,2,ST,Meghalaya,Purano Agitok Sangma,All India Trinamool Congress,"5,04,312","3,11,502",61.80%,"72,763",23.40%,2004
Udaipur,18,GEN,Rajasthan,Kiran Maheshwari,Bharatiya Janta Party,"13,63,337","7,58,166",55.60%,"74,875",9.90%,2004
Udhampur,5,GEN,Jammu & Kashmir,Ch. Lal Singh,Indian National Congress,"13,48,721","6,07,945",45.10%,"47,175",7.80%,2004
Udupi,18,SC,Karnataka,Manorama Madhwaraj,Bharatiya Janta Party,"11,38,398","7,78,545",68.40%,"29,003",3.70%,2004
Ujjain,27,ST,Madhya Pradesh [2000 Onwards],Dr. Satyanarayan Jatiya,Bharatiya Janta Party,"12,43,447","7,19,800",57.90%,"70,403",9.80%,2004
Uluberia,25,GEN,West Bengal,Hannan Mollah,Communist Party Of India (MARXIST),"11,29,673","8,49,086",75.20%,"1,52,115",17.90%,2004
Unnao,18,SC,Uttar Pradesh [2000 Onwards],Brajesh Pathak,Bahujan Samaj Party,"13,03,203","5,47,514",42.00%,"17,761",3.20%,2004
Vaishali,9,GEN,Bihar [2000 Onwards],Raghubansh Prasad Singh,Rashtriya Janata Dal,"11,97,345","7,48,681",62.50%,"1,05,935",14.10%,2004
Vandavasi,9,GEN,Tamil Nadu,"Ramachandran Gingee, N.",Marumalarchi Dravida Munnetra Kazhagam,"11,28,624","7,01,659",62.20%,"1,51,433",21.60%,2004
Varanasi,48,GEN,Uttar Pradesh [2000 Onwards],Dr. Rajesh Kumar Mishra,Indian National Congress,"14,87,696","6,33,729",42.60%,"57,436",9.10%,2004
Vellore,7,GEN,Tamil Nadu,"Kader Mohideen, K. M",Dravida Munetra Kazhagam,"12,20,454","7,45,806",61.10%,"1,78,610",23.90%,2004
Vidisha,20,GEN,Madhya Pradesh [2000 Onwards],Shivraj Singh Chauhan,Bharatiya Janta Party,"13,13,048","6,56,181",50.00%,"2,60,726",39.70%,2004
Vijayawada,13,GEN,Andhra Pradesh,Rajagopal Lagadapati,Indian National Congress,"14,64,657","9,43,766",64.40%,"1,14,587",12.10%,2004
Visakhapatnam,4,GEN,Andhra Pradesh,Janardhana Reddy Nedurumalli,Indian National Congress,"15,15,574","9,65,735",63.70%,"1,30,571",13.50%,2004
Vishnupur,36,GEN,West Bengal,Susmita Bauri,Communist Party Of India (MARXIST),"10,52,852","8,03,360",76.30%,"3,31,829",41.30%,2004
Warangal,39,GEN,Andhra Pradesh,Dharavath Ravinder Naik,Telangana Rashtra Samithi,"12,15,167","9,21,516",75.80%,"19,262",2.10%,2004
Wardha,27,GEN,Maharashtra,Wagmare Suresh Ganapat,Bharatiya Janta Party,"11,44,924","6,25,840",54.70%,"3,188",0.50%,2004
Washim,20,ST,Maharashtra,Gawali (PATIL) KU. BHAVANA PUNDLIKRAO,Shiv Sena,"11,51,886","7,19,643",62.50%,"60,898",8.50%,2004
Yavatmal,28,GEN,Maharashtra,Rathod Harising Nasaru,Bharatiya Janta Party,"11,33,605","6,63,001",58.50%,"56,804",8.60%,2004
Adilabad,1,ST,Andhra Pradesh,Rathod Ramesh,Telugu Desam,"11,31,211","8,63,248",76.30%,"1,15,087",13.30%,2009
Agra,18,SC,Uttar Pradesh [2000 Onwards],Dr. Ramshankar,Bharatiya Janta Party,"15,39,683","6,48,793",42.10%,"9,715",1.50%,2009
Ahmadnagar,37,GEN,Maharashtra,Gandhi Dilipkumar Mansukhlal,Bharatiya Janta Party,"15,17,951","7,87,153",51.90%,"46,731",5.90%,2009
Ahmedabad East,7,GEN,Gujarat,Harin Pathak,Bharatiya Janta Party,"14,11,761","5,97,395",42.30%,"86,056",14.40%,2009
Ahmedabad West,8,SC,Gujarat,Dr. Solanki Kiritbhai Premajibhai,Bharatiya Janta Party,"14,31,080","6,90,071",48.20%,"91,127",13.20%,2009
Ajmer,13,GEN,Rajasthan,Sachin Pilot,Indian National Congress,"14,55,339","7,71,272",53.00%,"76,135",9.90%,2009
Akbarpur,44,GEN,Uttar Pradesh [2000 Onwards],Rajaram Pal,Indian National Congress,"14,61,050","6,37,264",43.60%,"32,043",5.00%,2009
Akola,6,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,"14,80,606","7,40,014",50.00%,"64,848",8.80%,2009
Alappuzha,15,GEN,Kerala,K.C Venugopal,Indian National Congress,"11,47,162","9,11,120",79.40%,"57,635",6.30%,2009
Alathur,9,SC,Kerala,P.K Biju,Communist Party Of India (MARXIST),"11,00,843","8,30,044",75.40%,"20,960",2.50%,2009
Aligarh,15,GEN,Uttar Pradesh [2000 Onwards],Raj Kumari Chauhan,Bahujan Samaj Party,"13,45,351","6,94,110",51.60%,"16,557",2.40%,2009
Alipurduars,2,ST,West Bengal,Manohar Tirkey,Revolutionary Socialist Party,"12,29,301","9,34,622",76.00%,"1,12,822",12.10%,2009
Allahabad,52,GEN,Uttar Pradesh [2000 Onwards],Raman Singh,Samajwadi Party,"12,67,492","5,50,220",43.40%,"34,920",6.30%,2009
Almora,3,SC,Uttarakhand,Pradeep Tamta,Indian National Congress,"10,57,379","4,81,891",45.60%,"6,950",1.40%,2009
Alwar,8,GEN,Rajasthan,Jitendra Singh,Indian National Congress,"13,73,384","7,62,306",55.50%,"1,56,619",20.50%,2009
Amalapuram,24,SC,Andhra Pradesh,G.V.Harsha Kumar,Indian National Congress,"12,75,287","10,27,127",80.50%,"40,005",3.90%,2009
Ambala,1,SC,Haryana,Selja,Indian National Congress,"12,64,907","8,66,507",68.50%,"14,570",1.70%,2009
Ambedkar Nagar,55,GEN,Uttar Pradesh [2000 Onwards],Rakesh Pandey,Bahujan Samaj Party,"14,94,838","8,10,886",54.30%,"22,736",2.80%,2009
Amethi,37,GEN,Uttar Pradesh [2000 Onwards],Rahul Gandhi,Indian National Congress,"14,31,787","6,46,653",45.20%,"3,70,198",57.20%,2009
Amravati,7,SC,Maharashtra,Adsul Anandrao Vithoba,Shiv Sena,"14,23,855","7,32,573",51.50%,"61,716",8.40%,2009
Amreli,14,GEN,Gujarat,Kachhadia Naranbhai,Bharatiya Janta Party,"13,12,733","5,24,642",40.00%,"37,317",7.10%,2009
Amritsar,2,GEN,Punjab,Navjot Singh Sidhu,Bharatiya Janta Party,"12,41,099","8,14,503",65.60%,"6,858",0.80%,2009
Amroha,9,GEN,Uttar Pradesh [2000 Onwards],Devendra Nagpal,Rashtriya Lok Dal,"11,73,915","7,06,599",60.20%,"92,083",13.00%,2009
Anakapalli,22,GEN,Andhra Pradesh,Sabbam Hari,Indian National Congress,"13,31,695","10,51,708",79.00%,"52,912",5.00%,2009
Anand,16,GEN,Gujarat,Solanki Bharatbhai Madhavsinh,Indian National Congress,"13,97,162","6,76,072",48.40%,"67,318",10.00%,2009
Anandpur Sahib,6,GEN,Punjab,Ravneet Singh,Indian National Congress,"13,38,596","9,04,606",67.60%,"67,204",7.40%,2009
Anantapur,36,GEN,Andhra Pradesh,Anantha Venkata Rami Reddy,Indian National Congress,"14,11,460","10,02,775",71.10%,"77,921",7.80%,2009
Anantnag,3,GEN,Jammu & Kashmir,Mirza Mehboob Beg,Jammu & Kashmir National Conference,"11,76,223","3,18,726",27.10%,"5,224",1.60%,2009
Andaman & Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Shri. Bishnu Pada Ray,Bharatiya Janta Party,"2,65,108","1,70,107",64.20%,"2,990",1.80%,2009
Aonla,24,GEN,Uttar Pradesh [2000 Onwards],Menka Gandhi,Bharatiya Janta Party,"13,10,878","7,04,611",53.80%,"7,681",1.10%,2009
Arakkonam,7,GEN,Tamil Nadu,Jagathrakshakan,Dravida Munetra Kazhagam,"10,98,607","8,54,683",77.80%,"1,09,796",12.80%,2009
Arambagh,29,SC,West Bengal,Malik Sakti Mohan,Communist Party Of India (MARXIST),"13,75,377","11,63,581",84.60%,"2,01,558",17.30%,2009
Arani,12,GEN,Tamil Nadu,Krishnasswamy M,Indian National Congress,"10,97,865","8,43,076",76.80%,"1,06,830",12.70%,2009
Araria,9,GEN,Bihar [2000 Onwards],Pradeep Kumar Singh,Bharatiya Janta Party,"13,11,225","7,30,459",55.70%,"22,502",3.10%,2009
Arrah,32,GEN,Bihar [2000 Onwards],Meena Singh,Janata Dal (United),"15,55,122","5,56,364",35.80%,"74,720",13.40%,2009
Aruku,18,ST,Andhra Pradesh,Kishore Chandra Suryanarayana Deo Vyricherla,Indian National Congress,"11,82,514","7,96,043",67.30%,"1,92,444",24.20%,2009
Arunachal East,2,GEN,Arunachal Pradesh,Ninong Ering,Indian National Congress,"3,01,173","2,14,930",71.40%,"68,449",31.80%,2009
Arunachal West,1,GEN,Arunachal Pradesh,Takam Sanjoy,Indian National Congress,"4,33,368","2,85,666",65.90%,"1,314",0.50%,2009
Asansol,40,GEN,West Bengal,Bansa Gopal Chowdhury,Communist Party Of India (MARXIST),"12,50,052","8,93,860",71.50%,"72,956",8.20%,2009
Aska,19,GEN,Orissa,Nityananda Pradhan,Biju Janata Dal,"12,86,194","7,01,795",54.60%,"2,32,834",33.20%,2009
Attingal,19,GEN,Kerala,Adv. A Sampath,Communist Party Of India (MARXIST),"10,91,432","7,25,168",66.40%,"18,341",2.50%,2009
Aurangabad,19,GEN,Maharashtra,Chandrakant Khaire,Shiv Sena,"14,17,964","5,98,332",42.20%,"33,014",5.50%,2009
Aurangabad,37,GEN,Bihar [2000 Onwards],Sushil Kumar Singh,Janata Dal (United),"13,76,323","5,98,332",43.50%,"72,058",12.00%,2009
Autonomous District,3,ST,Assam,Biren Singh Engti,Indian National Congress,"6,93,407","4,80,748",69.30%,"74,548",15.50%,2009
Azamgarh,69,GEN,Uttar Pradesh [2000 Onwards],Ramakant Yadav,Bharatiya Janta Party,"15,78,854","7,05,508",44.70%,"49,039",7.00%,2009
Badaun,23,GEN,Uttar Pradesh [2000 Onwards],Dharmendra Yadav,Samajwadi Party,"14,05,695","7,37,438",52.50%,"32,542",4.40%,2009
Bagalkot,3,GEN,Karnataka,Gaddigoudar Parvatagouda Chandanagouda,Bharatiya Janta Party,"13,63,359","8,59,976",63.10%,"35,446",4.10%,2009
Baghpat,11,GEN,Uttar Pradesh [2000 Onwards],Ajit Singh,Rashtriya Lok Dal,"12,80,602","6,13,758",47.90%,"63,027",10.30%,2009
Baharampur,10,GEN,West Bengal,Adhir Ranjan Chowdhury,Indian National Congress,"11,79,938","9,53,789",80.80%,"1,86,977",19.60%,2009
Bahraich,56,SC,Uttar Pradesh [2000 Onwards],Kamal Kishor,Indian National Congress,"12,46,823","5,12,702",41.10%,"38,953",7.60%,2009
Balaghat,15,GEN,Madhya Pradesh [2000 Onwards],K. D. Deshmukh,Bharatiya Janta Party,"13,39,239","7,56,832",56.50%,"40,819",5.40%,2009
Balasore,6,GEN,Orissa,Srikant Kumar Jena,Indian National Congress,"12,69,342","8,92,345",70.30%,"38,900",4.40%,2009
Ballia,72,GEN,Uttar Pradesh [2000 Onwards],Neeraj Shekhar,Samajwadi Party,"16,79,029","6,77,426",40.40%,"72,555",10.70%,2009
Balurghat,6,GEN,West Bengal,Prasanta Kumar Majumdar,Revolutionary Socialist Party,"10,10,224","8,76,355",86.80%,"5,105",0.60%,2009
Banaskantha,2,GEN,Gujarat,Gadhvi Mukeshkumar Bheiravdanji,Indian National Congress,"12,96,871","6,46,305",49.80%,"10,301",1.60%,2009
Banda,48,GEN,Uttar Pradesh [2000 Onwards],R. K. Singh Patel,Samajwadi Party,"13,86,265","6,19,203",44.70%,"34,593",5.60%,2009
Bangalore Central,25,GEN,Karnataka,P. C. Mohan,Bharatiya Janta Party,"19,01,346","8,47,135",44.60%,"35,218",4.20%,2009
Bangalore North,24,GEN,Karnataka,D. B. Chandre Gowda,Bharatiya Janta Party,"21,44,091","10,01,678",46.70%,"59,665",6.00%,2009
Bangalore Rural,23,GEN,Karnataka,H D Kumaraswamy,Janata Dal (Secular),"19,04,135","11,03,049",57.90%,"1,30,275",11.80%,2009
Bangalore South,26,GEN,Karnataka,Ananth Kumar,Bharatiya Janta Party,"20,31,030","9,08,751",44.70%,"37,612",4.10%,2009
Bangaon,14,SC,West Bengal,Gobinda Chandra Naskar,All India Trinamool Congress,"12,46,979","10,78,719",86.50%,"92,826",8.60%,2009
Banka,27,GEN,Bihar [2000 Onwards],Digvijay Singh,Independent,"13,38,025","6,52,097",48.70%,"28,716",4.40%,2009
Bankura,36,GEN,West Bengal,Acharia Basudeb,Communist Party Of India (MARXIST),"12,68,563","9,85,847",77.70%,"1,07,802",10.90%,2009
Bansgaon,67,SC,Uttar Pradesh [2000 Onwards],Kamlesh Paswan,Bharatiya Janta Party,"16,63,648","6,49,218",39.00%,"52,787",8.10%,2009
Banswara,20,ST,Rajasthan,Tarachand Bhagora,Indian National Congress,"14,57,980","7,69,532",52.80%,"1,99,418",25.90%,2009
Bapatla,32,SC,Andhra Pradesh,Panabaka Lakshmi,Indian National Congress,"13,21,607","10,46,640",79.20%,"69,338",6.60%,2009
Barabanki,53,SC,Uttar Pradesh [2000 Onwards],P.L.Punia,Indian National Congress,"14,22,218","7,43,415",52.30%,"1,67,913",22.60%,2009
Baramati,35,GEN,Maharashtra,Supriya Sule,Nationalist Congress Party,"15,93,460","7,34,048",46.10%,"3,36,831",45.90%,2009
Baramulla,1,GEN,Jammu & Kashmir,Sharief Ud Din Shariq,Jammu & Kashmir National Conference,"10,54,496","4,41,234",41.80%,"64,814",14.70%,2009
Barasat,17,GEN,West Bengal,Kakali Ghosh Dastidar,All India Trinamool Congress,"12,26,654","10,26,860",83.70%,"1,22,901",12.00%,2009
Bardhaman Purba,38,SC,West Bengal,Anup Kumar Saha,Communist Party Of India (MARXIST),"12,89,311","11,24,896",87.30%,"59,419",5.30%,2009
Bardoli,23,ST,Gujarat,Chaudhari Tusharbhai Amrasinhbhai,Indian National Congress,"14,40,215","8,32,705",57.80%,"58,985",7.10%,2009
Bareilly,25,GEN,Uttar Pradesh [2000 Onwards],Praveen Singh Aron,Indian National Congress,"14,01,423","7,05,939",50.40%,"9,338",1.30%,2009
Bargarh,1,GEN,Orissa,Sanjay Bhoi,Indian National Congress,"13,20,274","9,19,459",69.60%,"98,444",10.70%,2009
Barmer,17,GEN,Rajasthan,Harish Choudhary,Indian National Congress,"14,41,456","7,86,516",54.60%,"1,19,106",15.10%,2009
Barpeta,6,GEN,Assam,Ismail Hussain,Indian National Congress,"12,39,607","9,02,287",72.80%,"30,429",3.40%,2009
Barrackpore,15,GEN,West Bengal,Dinesh Trivedi,All India Trinamool Congress,"10,81,237","8,70,792",80.50%,"56,024",6.40%,2009
Basirhat,18,GEN,West Bengal,Sk. Nurul Islam,All India Trinamool Congress,"11,98,579","10,38,520",86.70%,"60,383",5.80%,2009
Bastar,10,ST,Chhattisgarh,Baliram Kashyap,Bharatiya Janta Party,"11,93,116","5,64,742",47.30%,"1,00,262",17.80%,2009
Basti,61,GEN,Uttar Pradesh [2000 Onwards],Arvind Kumar Chaudhary,Bahujan Samaj Party,"15,70,657","7,73,985",49.30%,"1,05,210",13.60%,2009
Bathinda,11,GEN,Punjab,Harsimrat Kaur Badal,Shiromani Akali Dal,"13,36,790","10,48,144",78.40%,"1,20,948",11.50%,2009
Beed,39,GEN,Maharashtra,Munde Gopinathrao Pandurang,Bharatiya Janta Party,"16,37,239","10,74,052",65.60%,"1,40,952",13.10%,2009
Begusarai,24,GEN,Bihar [2000 Onwards],Dr. Monazir Hassan,Janata Dal (United),"14,73,263","7,18,408",48.80%,"40,837",5.70%,2009
Belgaum,2,GEN,Karnataka,Angadi Suresh Channabasappa,Bharatiya Janta Party,"13,78,238","7,54,295",54.70%,"1,18,687",15.70%,2009
Bellary,9,ST,Karnataka,J. Shantha,Bharatiya Janta Party,"14,01,258","8,60,948",61.40%,"2,243",0.30%,2009
Berhampur,20,GEN,Orissa,Sidhant Mohapatra,Biju Janata Dal,"12,07,552","7,11,181",58.90%,"57,287",8.10%,2009
Betul,29,ST,Madhya Pradesh [2000 Onwards],Jyoti Dhurve,Bharatiya Janta Party,"12,86,761","6,36,564",49.50%,"97,317",15.30%,2009
Bhadohi,78,GEN,Uttar Pradesh [2000 Onwards],Gorakhnath,Bahujan Samaj Party,"15,19,449","6,58,731",43.40%,"12,963",2.00%,2009
Bhadrak,7,SC,Orissa,Arjun Charan Sethi,Biju Janata Dal,"13,72,356","9,29,526",67.70%,"54,938",5.90%,2009
Bhagalpur,26,GEN,Bihar [2000 Onwards],Syed Shahnawaz Hussain,Bharatiya Janta Party,"14,33,346","6,29,032",43.90%,"55,811",8.90%,2009
Bhandara - Gondiya,11,GEN,Maharashtra,Patel Praful Manoharbhai,Nationalist Congress Party,"14,50,477","10,30,995",71.10%,"2,51,915",24.40%,2009
Bharatpur,9,SC,Rajasthan,Ratan Singh,Indian National Congress,"14,37,111","5,60,919",39.00%,"81,454",14.50%,2009
Bharuch,22,GEN,Gujarat,Mansukhbhai Dhanjibhai Vasava,Bharatiya Janta Party,"13,11,539","7,49,381",57.10%,"27,232",3.60%,2009
Bhavnagar,15,GEN,Gujarat,Rajendrasinh Ghanshyamsinh Rana (Rajubhai Rana),Bharatiya Janta Party,"13,81,619","6,23,341",45.10%,"5,893",0.90%,2009
Bhilwara,23,GEN,Rajasthan,C P Joshi,Indian National Congress,"14,92,687","7,54,956",50.60%,"1,35,368",17.90%,2009
Bhind,2,SC,Madhya Pradesh [2000 Onwards],Ashok Argal Chhaviram,Bharatiya Janta Party,"13,64,411","5,23,783",38.40%,"18,886",3.60%,2009
Bhiwandi,23,GEN,Maharashtra,Taware Suresh Kashinath,Indian National Congress,"14,83,176","5,84,180",39.40%,"41,364",7.10%,2009
Bhiwani-Mahendragarh,8,GEN,Haryana,Shruti Choudhry,Indian National Congress,"12,12,513","8,64,504",71.30%,"55,577",6.40%,2009
Bhongir,14,GEN,Andhra Pradesh,Komatireddy Raj Gopal Reddy,Indian National Congress,"14,78,391","11,29,371",76.40%,"1,39,888",12.40%,2009
Bhopal,19,GEN,Madhya Pradesh [2000 Onwards],Kailash Joshi,Bharatiya Janta Party,"14,61,714","6,59,263",45.10%,"65,157",9.90%,2009
Bhubaneswar,18,GEN,Orissa,Prasanna Kumar Patasani,Biju Janata Dal,"14,47,002","7,10,998",49.10%,"2,52,760",35.60%,2009
